File Name,Call Type,Length (seconds),Start Time,Trap Number
Crossroad-160519_221502-S793-E803,Male,10.0,2019-05-17 10:28,Secretary_Island/Crossroad
Crossroad-160519_230002-S17-E23,Male,6.0,2019-05-17 11:00,Secretary_Island/Crossroad
Crossroad-170319_230002-S367-E376,Male,9.0,2019-03-18 12:06,Secretary_Island/Crossroad
Crossroad-170320_224502-S726-E732,Male,6.0,2020-03-18 11:57,Secretary_Island/Crossroad
Crossroad-170320_224502-S741-E750,Male,9.0,2020-03-18 11:57,Secretary_Island/Crossroad
Crossroad-170320_224502-S815-E842,Male,27.0,2020-03-18 11:58,Secretary_Island/Crossroad
Crossroad-170320_234502-S529-E550,Male,21.0,2020-03-18 12:53,Secretary_Island/Crossroad
Crossroad-170320_234502-S588-E618,Male,30.0,2020-03-18 12:54,Secretary_Island/Crossroad
Crossroad-170419_234502-S98-E125,Male,27.0,2019-04-18 11:46,Secretary_Island/Crossroad
Crossroad-170519_221502-S614-E624,Male,10.0,2019-05-18 10:25,Secretary_Island/Crossroad
Crossroad-180320_220001-S269-E299,Male,30.0,2020-03-19 11:04,Secretary_Island/Crossroad
Crossroad-180320_221502-S400-E425,Male,25.0,2020-03-19 11:21,Secretary_Island/Crossroad
Crossroad-180419_220001-S507-E531,Male,24.0,2019-04-19 10:08,Secretary_Island/Crossroad
Crossroad-180419_223002-S152-E167,Male,15.0,2019-04-19 10:32,Secretary_Island/Crossroad
Crossroad-180419_224502-S549-E573,Male,24.0,2019-04-19 10:54,Secretary_Island/Crossroad
Crossroad-190419_231502-S775-E785,Male,10.0,2019-04-20 11:27,Secretary_Island/Crossroad
Crossroad-190419_231502-S792-E813,Male,21.0,2019-04-20 11:28,Secretary_Island/Crossroad
Crossroad-190419_231502-S831-E840,Male,9.0,2019-04-20 11:28,Secretary_Island/Crossroad
Crossroad-200319_221503-S280-E293,Male,13.0,2019-03-21 11:19,Secretary_Island/Crossroad
Crossroad-200320_220001-S441-E456,Male,15.0,2020-03-21 11:07,Secretary_Island/Crossroad
Crossroad-200320_220001-S606-E619,Female,13.0,2020-03-21 11:10,Secretary_Island/Crossroad
Crossroad-200320_221502-S564-E582,Female,18.0,2020-03-21 11:24,Secretary_Island/Crossroad
Crossroad-200320_221502-S623-E650,Male,27.0,2020-03-21 11:25,Secretary_Island/Crossroad
Crossroad-200320_223002-S422-E429,Male,7.0,2020-03-21 11:37,Secretary_Island/Crossroad
Crossroad-200320_224502-S88-E104,Male,16.0,2020-03-21 11:46,Secretary_Island/Crossroad
Crossroad-200320_231502-S378-E393,Male,15.0,2020-03-21 12:21,Secretary_Island/Crossroad
Crossroad-200320_233002-S467-E494,Male,27.0,2020-03-21 12:37,Secretary_Island/Crossroad
Crossroad-200320_233002-S690-E697,Male,7.0,2020-03-21 12:41,Secretary_Island/Crossroad
Crossroad-200320_234502-S455-E473,Male,18.0,2020-03-21 12:52,Secretary_Island/Crossroad
Crossroad-200419_233002-S160-E170,Male,10.0,2019-04-21 11:32,Secretary_Island/Crossroad
Crossroad-200419_233002-S169-E182,Female,13.0,2019-04-21 11:32,Secretary_Island/Crossroad
Crossroad-200419_234502-S761-E780,Male,19.0,2019-04-21 11:57,Secretary_Island/Crossroad
Crossroad-210319_220001-S198-E222,Male,24.0,2019-03-22 11:03,Secretary_Island/Crossroad
Crossroad-210319_234502-S330-E346,Male,16.0,2019-03-22 12:50,Secretary_Island/Crossroad
Crossroad-210319_234502-S367-E380,Male,13.0,2019-03-22 12:51,Secretary_Island/Crossroad
